Study ID,Title,Citation,Study Type,Sampling Method,Study Population,Study population category,Case Definition,Case definition category,Date Start,Date End,Study Context,Outbreak Description,Notes,Entry ID,Entry Description,Country ISO3 Code,GADM Admin 0,"GADM Admin 1, when available","GADM Admin 2, when available","GADM Admin 3, when available",Precise Place Name,Urban or Rural,Location Description,Care Seeking Questions,Multiple Choices,Timing of care seeking,Regarding self or child,Recall time (in days),Facility or location sought as written in transcript,Type of care facility sought (standardized),N surveyed if they WOULD seek care,N who said they WOULD seek care,N surveyed if they DID seek care,N who actually DID seek care,Additional Information,Age lower (of individual with diarrhea in years),Age Upper (of individual with diarrhea in years),Proportion of individuals with diarrhea <5 years old,Sex (of individual with diarrhea),Diarrhea severity,Diarrhea symptoms,Nutrition Status,Overlapping Study,Percents converted to numbers,Comments,Extractor Initials,Status,Primary dataset,Stratified time,Stratified geographic location,Stratified urban rural,Stratified age,Stratified sex,Stratified severity,Overlaps checked,Overlaps Decision,Is this data internally consistent?,Was the sample size justified?,Was the non-response rate reported?,Non-response description,Comments
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization",Diarrhea (3+ loose/liquid stools),05/22/2009,08/31/2009,,no outbreak description,HUAS-lite Round 1,41_b,"time, less severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.4",Where was care sought?,0,Any care,Child,14,Non health facility,Other,,,933,279,round 1 of HUAS-lite,,4,1,,LSD,diarrhea with absence of any characteristic of MSD,,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization","Severe diarrhea (danger signs, dehydration, hospitalization, 1+ week)",09/15/2009,12/03/2009,,no outbreak description,HUAS-lite Round 2,41_c,"time, moderate to severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.5",Where was care sought?,0,Any care,Child,14,Health facility,Hospital/Clinic,,,539,276,round 2 of HUAS-lite,,4,1,,MSD,"diarrhea with one or more of the following: sunken eyes, loss of skin turgor, dysentery, receipt of IV rehydration, or required hospitalization",,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization","Severe diarrhea (danger signs, dehydration, hospitalization, 1+ week)",09/15/2009,12/03/2009,,no outbreak description,HUAS-lite Round 2,41_c,"time, moderate to severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.6",Where was care sought?,0,Any care,Child,14,Non health facility,Other,,,539,149,round 2 of HUAS-lite,,4,1,,MSD,"diarrhea with one or more of the following: sunken eyes, loss of skin turgor, dysentery, receipt of IV rehydration, or required hospitalization",,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization",Diarrhea (3+ loose/liquid stools),09/15/2009,12/03/2009,,no outbreak description,HUAS-lite Round 2,41_d,"time, less severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.7",Where was care sought?,0,Any care,Child,14,Health facility,Hospital/Clinic,,,478,157,round 2 of HUAS-lite,,4,1,,LSD,diarrhea with absence of any characteristic of MSD,,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization",Diarrhea (3+ loose/liquid stools),09/15/2009,12/03/2009,,no outbreak description,HUAS-lite Round 2,41_d,"time, less severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.8",Where was care sought?,0,Any care,Child,14,Non health facility,Other,,,478,150,round 2 of HUAS-lite,,4,1,,LSD,diarrhea with absence of any characteristic of MSD,,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization","Severe diarrhea (danger signs, dehydration, hospitalization, 1+ week)",01/28/2010,04/30/2010,,no outbreak description,HUAS-lite Round 3,41_e,"time, moderate to severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.9",Where was care sought?,0,Any care,Child,14,Health facility,Hospital/Clinic,,,641,354,round 3 of HUAS-lite,,4,1,,MSD,"diarrhea with one or more of the following: sunken eyes, loss of skin turgor, dysentery, receipt of IV rehydration, or required hospitalization",,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization","Severe diarrhea (danger signs, dehydration, hospitalization, 1+ week)",01/28/2010,04/30/2010,,no outbreak description,HUAS-lite Round 3,41_e,"time, moderate to severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.10",Where was care sought?,0,Any care,Child,14,Non health facility,Other,,,641,183,round 3 of HUAS-lite,,4,1,,MSD,"diarrhea with one or more of the following: sunken eyes, loss of skin turgor, dysentery, receipt of IV rehydration, or required hospitalization",,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization",Diarrhea (3+ loose/liquid stools),01/28/2010,04/30/2010,,no outbreak description,HUAS-lite Round 3,41_f,"time, less severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.11",Where was care sought?,0,Any care,Child,14,Health facility,Hospital/Clinic,,,475,186,round 3 of HUAS-lite,,4,1,,LSD,diarrhea with absence of any characteristic of MSD,,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization",Diarrhea (3+ loose/liquid stools),01/28/2010,04/30/2010,,no outbreak description,HUAS-lite Round 3,41_f,"time, less severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.12",Where was care sought?,0,Any care,Child,14,Non health facility,Other,,,475,168,round 3 of HUAS-lite,,4,1,,LSD,diarrhea with absence of any characteristic of MSD,,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization","Severe diarrhea (danger signs, dehydration, hospitalization, 1+ week)",05/27/2010,08/31/2010,,no outbreak description,HUAS-lite Round 4,41_g,"time, moderate to severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.13",Where was care sought?,0,Any care,Child,14,Health facility,Hospital/Clinic,,,518,221,round 4 of HUAS-lite,,4,1,,MSD,"diarrhea with one or more of the following: sunken eyes, loss of skin turgor, dysentery, receipt of IV rehydration, or required hospitalization",,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization","Severe diarrhea (danger signs, dehydration, hospitalization, 1+ week)",05/27/2010,08/31/2010,,no outbreak description,HUAS-lite Round 4,41_g,"time, moderate to severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.14",Where was care sought?,0,Any care,Child,14,Non health facility,Other,,,518,223,round 4 of HUAS-lite,,4,1,,MSD,"diarrhea with one or more of the following: sunken eyes, loss of skin turgor, dysentery, receipt of IV rehydration, or required hospitalization",,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization",Diarrhea (3+ loose/liquid stools),05/27/2010,08/31/2010,,no outbreak description,HUAS-lite Round 4,41_h,"time, less severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.15",Where was care sought?,0,Any care,Child,14,Health facility,Hospital/Clinic,,,380,145,round 4 of HUAS-lite,,4,1,,LSD,diarrhea with absence of any characteristic of MSD,,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization",Diarrhea (3+ loose/liquid stools),05/27/2010,08/31/2010,,no outbreak description,HUAS-lite Round 4,41_h,"time, less severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.16",Where was care sought?,0,Any care,Child,14,Non health facility,Other,,,380,235,round 4 of HUAS-lite,,4,1,,LSD,diarrhea with absence of any characteristic of MSD,,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization","Severe diarrhea (danger signs, dehydration, hospitalization, 1+ week)",09/14/2010,12/31/2010,,no outbreak description,HUAS-lite Round 5,41_i,"time, moderate to severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.17",Where was care sought?,0,Any care,Child,14,Health facility,Hospital/Clinic,,,427,179,round 5 of HUAS-lite,,4,1,,MSD,"diarrhea with one or more of the following: sunken eyes, loss of skin turgor, dysentery, receipt of IV rehydration, or required hospitalization",,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization","Severe diarrhea (danger signs, dehydration, hospitalization, 1+ week)",09/14/2010,12/31/2010,,no outbreak description,HUAS-lite Round 5,41_i,"time, moderate to severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.18",Where was care sought?,0,Any care,Child,14,Non health facility,Other,,,427,175,round 5 of HUAS-lite,,4,1,,MSD,"diarrhea with one or more of the following: sunken eyes, loss of skin turgor, dysentery, receipt of IV rehydration, or required hospitalization",,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization",Diarrhea (3+ loose/liquid stools),09/14/2010,12/31/2010,,no outbreak description,HUAS-lite Round 5,41_j,"time, less severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.19",Where was care sought?,0,Any care,Child,14,Health facility,Hospital/Clinic,,,311,111,round 5 of HUAS-lite,,4,1,,LSD,diarrhea with absence of any characteristic of MSD,,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization",Diarrhea (3+ loose/liquid stools),09/14/2010,12/31/2010,,no outbreak description,HUAS-lite Round 5,41_j,"time, less severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.20",Where was care sought?,0,Any care,Child,14,Non health facility,Other,,,311,84,round 5 of HUAS-lite,,4,1,,LSD,diarrhea with absence of any characteristic of MSD,,0,0,,DJC,Complete,1,1,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization","Severe diarrhea (danger signs, dehydration, hospitalization, 1+ week)",05/22/2009,12/31/2010,,no outbreak description,HUAS-lite Rounds 1-5,41_k,"time, moderate to severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.21",Where was care sought?,0,Any care,Child,14,Health facility,Hospital/Clinic,,,3262,1657,overall (round 1-5),,4,1,,MSD,"diarrhea with one or more of the following: sunken eyes, loss of skin turgor, dysentery, receipt of IV rehydration, or required hospitalization",,0,0,,DJC,Complete,1,0,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization","Severe diarrhea (danger signs, dehydration, hospitalization, 1+ week)",05/22/2009,12/31/2010,,no outbreak description,HUAS-lite Rounds 1-5,41_k,"time, moderate to severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.22",Where was care sought?,0,Any care,Child,14,Non health facility,Other,,,3262,1018,overall (round 1-5),,4,1,,MSD,"diarrhea with one or more of the following: sunken eyes, loss of skin turgor, dysentery, receipt of IV rehydration, or required hospitalization",,0,0,,DJC,Complete,1,0,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization",Diarrhea (3+ loose/liquid stools),05/22/2009,12/31/2010,,no outbreak description,HUAS-lite Rounds 1-5,41_l,"time, less severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.23",Where was care sought?,0,Any care,Child,14,Health facility,Hospital/Clinic,,,2577,929,overall (round 1-5),,4,1,,LSD,diarrhea with absence of any characteristic of MSD,,0,0,,DJC,Complete,1,0,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
41,"Health Care-Seeking Behavior During Childhood Diarrheal Illness: Results of Health Care Utilization and Attitudes Surveys of Caretakers in Western Kenya, 2007–2010",10.4269%2Fajtmh.12-0755,Survey,Simple random,caretakers of children under 5 years old,Caregiver,"LSD: more than or equal to three loose stools within the previous 24 hours
MSD: same as LSD but with one or more of the following characteristics: sunken eyes, loss of skin turgot, dysentery (blood in stool), receipt of intravenous rehydration, or required hospitalization",Diarrhea (3+ loose/liquid stools),05/22/2009,12/31/2010,,no outbreak description,HUAS-lite Rounds 1-5,41_l,"time, less severe diarrhea",KEN,Kenya,Siaya,"Bondo, Gem",,"Asembo, Gem",Rural,"This region reports the highest adult human immunodeficiency virus (HIV) prevalence rates (approximately 15%) in Kenya.16,17 Malaria transmission is high and holoendemic.24",Where was care sought?,0,Any care,Child,14,Non health facility,Other,,,2577,805,overall (round 1-5),,4,1,,LSD,diarrhea with absence of any characteristic of MSD,,0,0,,DJC,Complete,1,0,0,0,0,0,0,1,"HUAS-lites not reported in 40, severe and less severe diarrhea reported separately and thus so not overlap",1,1,1,"1298 caretakers approached, 1043 interviews conducted Figure 2, Study enrollment. procedures",Sample size justification referenced to another study
