Study ID,Title,Citation,Study Type,Sampling Method,Study Population,Case Definition,Date Start,Date End,Study Context,Outbreak Description,Notes,Entry ID,Entry Description,Country ISO3 Code,GADM Admin 0,"GADM Admin 1, when available","GADM Admin 2, when available","GADM Admin 3, when available",Precise Place Name,Urban or Rural,Location Description,Care Seeking Questions,Multiple Choices,Regarding self or child,Recall time (in days),Facility or location sought as written in transcript,Type of care facility sought (standardized),N surveyed if they WOULD seek care,N who said they WOULD seek care,N surveyed if they DID seek care,N who actually DID seek care,Additional Information,Age lower (of individual with diarrhea in years),Age Upper (of individual with diarrhea in years),Proportion of individuals with diarrhea <5 years old,Sex (of individual with diarrhea),Diarrhea severity,Diarrhea symptoms,Nutrition Status,Overlapping Study,Percents converted to numbers,Comments,Extractor Initials,Status,Primary dataset,Stratified time,Stratified geographic location,Stratified urban rural,Stratified age,Stratified sex,Stratified severity,Overlaps checked,Overlaps decision,Is the data internally consistent?
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ad,Plaisance; female; 65+,HTI,Haiti,Nord,Pilate,Plaisance,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Doctor,Public Hospital/Clinic,,,25,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",65,89,0,Female,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ad,Plaisance; female; 65+,HTI,Haiti,Nord,Pilate,Plaisance,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Traditional medicine,Traditional Healer,,,25,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",65,89,0,Female,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ad,Plaisance; female; 65+,HTI,Haiti,Nord,Pilate,Plaisance,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Other,Other,,,25,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",65,89,0,Female,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ae,Port-Margot; male; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Hospital/Clinic,,,14,6,Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders,0,4,1,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ae,Port-Margot; male; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Hospital,Hospital/Clinic,,,14,8,Recall period from beginning of epidemic through beginning of study,0,4,1,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ae,Port-Margot; male; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Non- Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Other,,,14,0,Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders,0,4,1,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ae,Port-Margot; male; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Oral rehydration points,Other,,,14,0,Recall period from beginning of epidemic through beginning of study,0,4,1,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ae,Port-Margot; male; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Doctor,Public Hospital/Clinic,,,14,0,Recall period from beginning of epidemic through beginning of study,0,4,1,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ae,Port-Margot; male; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Traditional medicine,Traditional Healer,,,14,0,Recall period from beginning of epidemic through beginning of study,0,4,1,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ae,Port-Margot; male; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Other,Other,,,14,0,Recall period from beginning of epidemic through beginning of study,0,4,1,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_af,Port-Margot; female; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Hospital/Clinic,,,10,3,Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders,0,4,1,Female,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_af,Port-Margot; female; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Hospital,Hospital/Clinic,,,10,2,Recall period from beginning of epidemic through beginning of study,0,4,1,Female,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_af,Port-Margot; female; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Non- Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Other,,,10,0,Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders,0,4,1,Female,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_af,Port-Margot; female; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Oral rehydration points,Other,,,10,0,Recall period from beginning of epidemic through beginning of study,0,4,1,Female,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_af,Port-Margot; female; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Doctor,Public Hospital/Clinic,,,10,0,Recall period from beginning of epidemic through beginning of study,0,4,1,Female,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_af,Port-Margot; female; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Traditional medicine,Traditional Healer,,,10,0,Recall period from beginning of epidemic through beginning of study,0,4,1,Female,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_af,Port-Margot; female; 0-4,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Child,170,Other,Other,,,10,0,Recall period from beginning of epidemic through beginning of study,0,4,1,Female,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ag,Port-Margot; male; 5-17,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Hospital/Clinic,,,29,7,"Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",5,17,0,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ag,Port-Margot; male; 5-17,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Hospital,Hospital/Clinic,,,29,16,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",5,17,0,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ag,Port-Margot; male; 5-17,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Non- Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Other,,,29,0,"Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",5,17,0,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ag,Port-Margot; male; 5-17,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Oral rehydration points,Other,,,29,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",5,17,0,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ag,Port-Margot; male; 5-17,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Doctor,Public Hospital/Clinic,,,29,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",5,17,0,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ag,Port-Margot; male; 5-17,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Traditional medicine,Traditional Healer,,,29,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",5,17,0,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ag,Port-Margot; male; 5-17,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Other,Other,,,29,0,"Recall period from beginning of epidemic through beginning of study
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",5,17,0,Male,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
50,"Geographic Distribution and Mortality Risk Factors during the Cholera Outbreak in a Rural Region of Haiti, 2010-2011",doi.org/10.1371/journal.pntd.0003605,Survey,Cluster,"Heads of households within rural villages in Nord, Haiti","Diarrhea: at least three watery stools within a 24-hour period
Severe diarrhea: self-reported lethargy or altered consciousness during the diarrheal illness",04/22/2011,05/13/2011,During a cholera outbreak,"Cholera epidemic began in 2010; 600,000 cases of cholera and 7,000 deaths reported within first two years",,50_ah,Port-Margot; female; 5-17,HTI,Haiti,Nord,Borgne,Port-Margot,,Rural,"Villages in the districts of Plaisance and Port Margot are mainly accessible by roads, while villages in the more mountainous districts of Pilate and Borgne are more difficult to reach due to their mountainous terrain",Where did you seek care?,,Other (describe in notes),170,Médecins Sans Frontières/Cholera treatment center/cholera treatment units,Hospital/Clinic,,,33,11,"Recall period from beginning of epidemic through beginning of study; Médecins Sans Frontières = doctors without borders
Heads of household answered for all household members on past illness, thus reports could be about themselves or another person in the house",5,17,0,Female,,,,1,0,Data extrated manually from study's excel datasheet by MHM using pivot tables in excel. Worksheet showing extraction process can be found in Extraction file in Care Seeking Review channel on Teams ,MHM,Complete,1,0,1,0,1,1,0,,,
